"","Primer","Taxonomic Level","Network Topology Variable","Minimum","Maximum","Mean","SD"
"1","asv16S","Family","Total.Nodes","9","655","157","204.734761180597"
"2","asv16S","Family","Total.Edges","14","12029","356","2625.21433323373"
"3","asv16S","Family","Positive.Edges","13","11139","314","2376.91863125937"
"4","asv16S","Family","Negative.Edges","1","1209","34","254.508703988787"
"5","asv16S","Family","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"6","asv16S","Family","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"7","asv16S","Family","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"8","asv16S","Family","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"9","asv16S","Family","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"10","asv16S","Family","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"11","asv16S","Family","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"12","asv16S","Family","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"13","asv16S","Genus","Total.Nodes","9","655","157","204.734761180597"
"14","asv16S","Genus","Total.Edges","14","12029","356","2625.21433323373"
"15","asv16S","Genus","Positive.Edges","13","11139","314","2376.91863125937"
"16","asv16S","Genus","Negative.Edges","1","1209","34","254.508703988787"
"17","asv16S","Genus","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"18","asv16S","Genus","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"19","asv16S","Genus","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"20","asv16S","Genus","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"21","asv16S","Genus","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"22","asv16S","Genus","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"23","asv16S","Genus","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"24","asv16S","Genus","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"25","asv16S","Species","Total.Nodes","9","655","157","204.734761180597"
"26","asv16S","Species","Total.Edges","14","12029","356","2625.21433323373"
"27","asv16S","Species","Positive.Edges","13","11139","314","2376.91863125937"
"28","asv16S","Species","Negative.Edges","1","1209","34","254.508703988787"
"29","asv16S","Species","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"30","asv16S","Species","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"31","asv16S","Species","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"32","asv16S","Species","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"33","asv16S","Species","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"34","asv16S","Species","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"35","asv16S","Species","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"36","asv16S","Species","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"37","asv18S","Family","Total.Nodes","9","655","157","204.734761180597"
"38","asv18S","Family","Total.Edges","14","12029","356","2625.21433323373"
"39","asv18S","Family","Positive.Edges","13","11139","314","2376.91863125937"
"40","asv18S","Family","Negative.Edges","1","1209","34","254.508703988787"
"41","asv18S","Family","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"42","asv18S","Family","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"43","asv18S","Family","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"44","asv18S","Family","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"45","asv18S","Family","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"46","asv18S","Family","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"47","asv18S","Family","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"48","asv18S","Family","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"49","asv18S","Genus","Total.Nodes","9","655","157","204.734761180597"
"50","asv18S","Genus","Total.Edges","14","12029","356","2625.21433323373"
"51","asv18S","Genus","Positive.Edges","13","11139","314","2376.91863125937"
"52","asv18S","Genus","Negative.Edges","1","1209","34","254.508703988787"
"53","asv18S","Genus","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"54","asv18S","Genus","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"55","asv18S","Genus","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"56","asv18S","Genus","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"57","asv18S","Genus","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"58","asv18S","Genus","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"59","asv18S","Genus","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"60","asv18S","Genus","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"61","asv18S","Species","Total.Nodes","9","655","157","204.734761180597"
"62","asv18S","Species","Total.Edges","14","12029","356","2625.21433323373"
"63","asv18S","Species","Positive.Edges","13","11139","314","2376.91863125937"
"64","asv18S","Species","Negative.Edges","1","1209","34","254.508703988787"
"65","asv18S","Species","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"66","asv18S","Species","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"67","asv18S","Species","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"68","asv18S","Species","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"69","asv18S","Species","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"70","asv18S","Species","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"71","asv18S","Species","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"72","asv18S","Species","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"73","asvrbcL","Family","Total.Nodes","9","655","157","204.734761180597"
"74","asvrbcL","Family","Total.Edges","14","12029","356","2625.21433323373"
"75","asvrbcL","Family","Positive.Edges","13","11139","314","2376.91863125937"
"76","asvrbcL","Family","Negative.Edges","1","1209","34","254.508703988787"
"77","asvrbcL","Family","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"78","asvrbcL","Family","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"79","asvrbcL","Family","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"80","asvrbcL","Family","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"81","asvrbcL","Family","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"82","asvrbcL","Family","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"83","asvrbcL","Family","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"84","asvrbcL","Family","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"85","asvrbcL","Genus","Total.Nodes","9","655","157","204.734761180597"
"86","asvrbcL","Genus","Total.Edges","14","12029","356","2625.21433323373"
"87","asvrbcL","Genus","Positive.Edges","13","11139","314","2376.91863125937"
"88","asvrbcL","Genus","Negative.Edges","1","1209","34","254.508703988787"
"89","asvrbcL","Genus","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"90","asvrbcL","Genus","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"91","asvrbcL","Genus","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"92","asvrbcL","Genus","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"93","asvrbcL","Genus","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"94","asvrbcL","Genus","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"95","asvrbcL","Genus","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"96","asvrbcL","Genus","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
"97","asvrbcL","Species","Total.Nodes","9","655","157","204.734761180597"
"98","asvrbcL","Species","Total.Edges","14","12029","356","2625.21433323373"
"99","asvrbcL","Species","Positive.Edges","13","11139","314","2376.91863125937"
"100","asvrbcL","Species","Negative.Edges","1","1209","34","254.508703988787"
"101","asvrbcL","Species","Pos.Neg","3.605442177","505","11.85270049","34.6156094622938"
"102","asvrbcL","Species","Pos.Total","0.782865583","0.998023715","0.922195339","0.0501277901012748"
"103","asvrbcL","Species","Neg.Total","0.001976285","0.217134417","0.077804661","0.0501277901012748"
"104","asvrbcL","Species","Avg.Path.Length","1.032258065","9.537767832","3.137956204","1.20322373873989"
"105","asvrbcL","Species","Modularity","-1.4e-16","0.875062818","0.691484363","0.179332079577318"
"106","asvrbcL","Species","Avg.Degree","2","36.72977099","5.719148936","6.87009299753551"
"107","asvrbcL","Species","Heterogeneity","0.127926085","0.847396708","0.315629703","0.118188087096196"
"108","asvrbcL","Species","Clustering.Coefficient","0.085267677","0.990566038","0.508817766","0.200797081961505"
